date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-17,30746,7483,146,0.47,623,598,565,518,1.68,0.47,0.004699999999999999,1.68,0.0168,4.11
2025-11-18,8550,4760,20,0.23,125,121,112,94,1.1,0.23,0.0023,1.1,0.011000000000000001,1.8
2025-11-19,9957,7409,15,0.15,60,56,51,47,0.47,0.15,0.0015,0.47,0.004699999999999999,1.34
2025-11-20,10479,7820,14,0.13,90,87,78,72,0.69,0.13,0.0013,0.69,0.0069,1.34
2025-11-21,10405,7425,15,0.14,118,108,99,86,0.83,0.14,0.0014000000000000002,0.83,0.0083,1.4
2025-11-22,10241,6850,15,0.15,76,73,69,59,0.58,0.15,0.0015,0.58,0.0058,1.5
2025-11-23,10259,7166,16,0.16,84,78,76,67,0.65,0.16,0.0016,0.65,0.006500000000000001,1.43
2025-11-24,11251,8399,15,0.13,71,66,63,55,0.49,0.13,0.0013,0.49,0.0049,1.34
2025-11-25,11919,8742,16,0.13,64,60,58,49,0.41,0.13,0.0013,0.41,0.0040999999999999995,1.36
2025-11-26,12034,8755,16,0.13,72,71,62,55,0.46,0.13,0.0013,0.46,0.0046,1.37
2025-11-27,9970,7256,15,0.15,95,93,86,77,0.77,0.15,0.0015,0.77,0.0077,1.37
2025-11-28,12072,8464,15,0.12,87,85,82,69,0.57,0.12,0.0012,0.57,0.005699999999999999,1.43
2025-11-29,12070,7670,15,0.12,110,107,102,86,0.71,0.12,0.0012,0.71,0.0070999999999999995,1.57
2025-11-30,6740,4135,9,0.13,72,69,62,54,0.8,0.13,0.0013,0.8,0.008,1.63
,166693,85939,342,0.21,1747,1672,1565,1388,0.83,0.21,0.0021,0.83,0.0083,1.94
